TeamID,Attendance,Avg_Attendance
ARI,2073730,25602
ATL,2354305,29065
BAL,2464473,30426
BOS,2956089,36495
CHC,2652113,32742
CHW,1650821,20381
CIN,2476664,30576
CLE,1437393,17746
COL,2680329,33090
DET,2917209,36015
HOU,1751829,21628
KCR,1956482,24154
LAA,3095935,38221
LAD,3782337,46696
MIA,1732283,21386
MIL,2797384,34536
MIN,2250606,27785
NYM,2148808,26528
NYY,3401624,41995
OAK,2003628,24736
PHI,2423852,29924
PIT,2442564,30155
SDP,2195373,27103
SEA,2064334,25486
SFG,3368697,41589
STL,3540649,43712
TBR,1446464,17858
TEX,2718733,33565
TOR,2375525,29327
WSN,2579389,31844
