TeamID,City,Nickname
ARI,Arizona,Diamondbacks
ATL,Atlanta,Braves
BAL,Baltimore,Orioles
BOS,Boston,Red Sox
CHA,Chicago,White Sox
CHN, Chicago,Cubs
CIN,Cincinnati,Reds
CLE,Cleveland,Indians
COL,Colorado,Rockies
DET,Detroit,Tigers
HOU,Houston,Astros
KCA,Kansas City,Royals
LAA,Los Angeles,Angels
LAN,Los Angeles,Dodgers
MIA,Miami,Marlins
MIN,Minnesota,Twins
ML4,Milwaukee,Brewers
NYA,New York,Yankees
NYN,New York,Mets
OAK,Oakland,Athletics
PHI,Philadelphia,Phillies
PIT,Pittsburgh,Pirates
SDN,San Diego,Padres
SEA,Seattle,Mariners
SFN,San Francisco,Giants
SLN,St. Louis,Cardinals
TBA,Tampa Bay,Devil Rays
TEX,Texas,Rangers
TOR,Toronto,Blue Jays
WAS,Washington,Nationals
