W-Win,W-Loss,L-Win,L-Loss,Total Wins,Total Losses,Total Games
10.0,5.0,5.0,11.0,15.0,16.0,31.0
19.0,5.0,3.0,4.0,22.0,9.0,31.0
3.0,1.0,5.0,10.0,8.0,11.0,19.0
11.0,6.0,0.0,0.0,11.0,6.0,17.0
12.0,5.0,0.0,0.0,12.0,5.0,17.0
3.0,2.0,2.0,7.0,5.0,9.0,14.0
7.0,2.0,1.0,4.0,8.0,6.0,14.0
3.0,2.0,2.0,4.0,5.0,6.0,11.0
4.0,1.0,0.0,4.0,4.0,5.0,9.0
1.0,0.0,2.0,5.0,3.0,5.0,8.0
3.0,0.0,0.0,4.0,3.0,4.0,7.0
1.0,0.0,2.0,3.0,3.0,3.0,6.0
0.0,0.0,2.0,4.0,2.0,4.0,6.0
1.0,0.0,1.0,3.0,2.0,3.0,5.0
0.0,0.0,2.0,3.0,2.0,3.0,5.0
0.0,0.0,1.0,3.0,1.0,3.0,4.0
0.0,0.0,1.0,3.0,1.0,3.0,4.0
0.0,0.0,0.0,3.0,0.0,3.0,3.0
0.0,0.0,0.0,1.0,0.0,1.0,1.0
0.0,0.0,0.0,1.0,0.0,1.0,1.0
0.0,0.0,0.0,1.0,0.0,1.0,1.0
